station_id,time,cs,fof2,MUFD,foE,hmF2,hF2
AL945,2026-02-12 00:00:00+00:00,0,6.4,19.95,,202.5,
MHJ45,2026-02-12 00:00:00+00:00,0,5.425,16.62,,237.5,
AL945,2026-02-12 00:07:30+00:00,70,6.025,20.81,,210.0,264.6
MHJ45,2026-02-12 00:07:30+00:00,80,5.325,16.70,,232.5,285.0
AL945,2026-02-12 00:15:00+00:00,80,6.4,20.4,,227.5,290.0
MHJ45,2026-02-12 00:15:00+00:00,60,5.300,16.16,,237.5,304.8
AL945,2026-02-12 00:22:30+00:00,70,6.35,20.4,,235.0,287.6
MHJ45,2026-02-12 00:22:30+00:00,60,5.425,16.72,,230.0,295.0
MHJ45,2026-02-12 00:30:00+00:00,0,5.375,16.39,,230.0,
AL945,2026-02-12 00:30:00+00:00,70,6.275,20.06,,222.5,278.5
AL945,2026-02-12 00:37:30+00:00,0,6.125,19.86,,217.5,
MHJ45,2026-02-12 00:37:30+00:00,70,5.225,16.41,,230.0,283.0
MHJ45,2026-02-12 00:45:00+00:00,60,4.875,15.79,,225.0,272.8
AL945,2026-02-12 00:45:00+00:00,50,6.075,19.61,,217.5,271.5
AL945,2026-02-12 00:52:30+00:00,0,5.8,18.8,,235.0,
MHJ45,2026-02-12 00:52:30+00:00,0,4.575,14.70,,222.5,
AL945,2026-02-12 01:00:00+00:00,0,5.6,17.81,,215.0,
MHJ45,2026-02-12 01:00:00+00:00,0,4.375,13.53,,227.5,
MHJ45,2026-02-12 01:07:30+00:00,0,4.525,13.47,,240.0,
AL945,2026-02-12 01:07:30+00:00,0,5.5,17.55,,227.5,
AL945,2026-02-12 01:15:00+00:00,80,5.4,17.33,,237.5,280.6
MHJ45,2026-02-12 01:15:00+00:00,0,4.200,13.04,,237.5,
MHJ45,2026-02-12 01:22:30+00:00,0,4.625,13.39,,245.0,
AL945,2026-02-12 01:22:30+00:00,0,4.95,16.19,,230.0,
AL945,2026-02-12 01:30:00+00:00,0,5.1,15.63,,230.0,
MHJ45,2026-02-12 01:30:00+00:00,0,4.150,12.64,,245.0,
MHJ45,2026-02-12 01:37:30+00:00,60,4.125,12.59,,245.0,296.5
AL945,2026-02-12 01:37:30+00:00,40,4.975,16.15,,230.0,271.6
MHJ45,2026-02-12 01:45:00+00:00,70,3.900,12.12,,245.0,294.0
AL945,2026-02-12 01:45:00+00:00,40,4.575,15.41,,230.0,268.2
MHJ45,2026-02-12 01:52:30+00:00,0,3.900,11.88,,252.5,
AL945,2026-02-12 01:52:30+00:00,70,4.475,14.61,,230.0,278.2
MHJ45,2026-02-12 02:00:00+00:00,80,3.950,12.06,,255.0,306.5
AL945,2026-02-12 02:00:00+00:00,45,4.1,13.44,,235.0,273.6
MHJ45,2026-02-12 02:07:30+00:00,90,3.975,11.94,,255.0,307.8
AL945,2026-02-12 02:07:30+00:00,0,4.15,12.72,,240.0,
