station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 00:00:00+00:00,70,8.100,25.52,,225.0,285.4
MHJ45,2026-02-05 00:00:00+00:00,70,7.225,22.28,,230.0,295.4
AL945,2026-02-05 00:07:30+00:00,70,7.675,23.93,,225.0,292.0
MHJ45,2026-02-05 00:07:30+00:00,70,6.975,21.14,,232.5,312.5
AL945,2026-02-05 00:15:00+00:00,0,7.400,21.27,,230.0,
MHJ45,2026-02-05 00:15:00+00:00,70,6.650,19.63,,240.0,319.2
MHJ45,2026-02-05 00:22:30+00:00,70,6.475,18.22,,255.0,348.3
AL945,2026-02-05 00:22:30+00:00,90,7.650,21.61,,247.5,335.4
MHJ45,2026-02-05 00:30:00+00:00,70,6.450,18.08,,265.0,351.9
AL945,2026-02-05 00:30:00+00:00,0,7.925,23.32,,252.5,
MHJ45,2026-02-05 00:37:30+00:00,70,6.575,18.78,,270.0,334.8
AL945,2026-02-05 00:37:30+00:00,75,7.825,24.00,,242.5,308.1
MHJ45,2026-02-05 00:45:00+00:00,70,6.600,18.95,,265.0,334.3
AL945,2026-02-05 00:45:00+00:00,70,7.475,23.15,,235.0,297.4
MHJ45,2026-02-05 00:52:30+00:00,70,6.625,18.79,,260.0,344.4
AL945,2026-02-05 00:52:30+00:00,90,7.250,21.82,,232.5,313.5
MHJ45,2026-02-05 01:00:00+00:00,70,6.300,18.15,,257.5,319.5
AL945,2026-02-05 01:00:00+00:00,0,7.200,20.86,,230.0,
MHJ45,2026-02-05 01:07:30+00:00,70,6.450,18.28,,257.5,336.8
AL945,2026-02-05 01:07:30+00:00,0,7.100,20.85,,232.5,
AL945,2026-02-05 01:15:00+00:00,90,7.000,20.76,,235.0,311.7
MHJ45,2026-02-05 01:15:00+00:00,70,6.325,18.13,,255.0,329.7
AL945,2026-02-05 01:22:30+00:00,90,6.775,19.97,,235.0,316.0
MHJ45,2026-02-05 01:22:30+00:00,0,6.275,17.88,,252.5,
MHJ45,2026-02-05 01:30:00+00:00,0,6.100,17.05,,255.0,
AL945,2026-02-05 01:30:00+00:00,0,6.775,18.97,,235.0,
MHJ45,2026-02-05 01:37:30+00:00,0,5.975,16.01,,257.5,
AL945,2026-02-05 01:37:30+00:00,90,6.750,19.20,,280.0,340.6
AL945,2026-02-05 01:45:00+00:00,90,6.750,19.13,,252.5,333.0
